Datum_avliden,Antal_avlidna
Uppgift saknas,19
2020-03-11,1
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,1
2020-03-18,6
2020-03-19,7
2020-03-20,10
2020-03-21,7
2020-03-22,12
2020-03-23,11
2020-03-24,20
2020-03-25,25
2020-03-26,29
2020-03-27,32
2020-03-28,35
2020-03-29,39
2020-03-30,44
2020-03-31,45
2020-04-01,52
2020-04-02,67
2020-04-03,81
2020-04-04,69
2020-04-05,82
2020-04-06,90
2020-04-07,81
2020-04-08,106
2020-04-09,79
2020-04-10,78
2020-04-11,84
2020-04-12,86
2020-04-13,72
2020-04-14,67
2020-04-15,77
2020-04-16,78
2020-04-17,49
2020-04-18,51
2020-04-19,43
2020-04-20,21
2020-04-21,3
